id_Ticker,Name,Weight,Shares,Price,id_sector,id_country,"Revenue:Q","Total Return:M-6"
1,Apple Inc,3.648482,15279.918,148.3,4,11,82958999552,-11.25434201
2,Microsoft Corp,2.947639,7459.884,245.41,4,11,51865001984,-13.38365309
3,Amazon.com Inc,1.698197,8863.956,118.99,10,11,1.21234E+11,-19.53929455
4,Alphabet Inc,0.979381,5980.509,101.71,3,11,69685002240,-18.97576152
5,Alphabet Inc,0.862566,5253.243,101.98,3,11,69685002240,-18.77538501
6,Tesla Inc,0.861519,2596.821,206.05,10,11,21454000128,-36.22792
7,UnitedHealth Group Inc,0.816423,933.601,543.13,8,11,80894001152,-0.017401935
8,Johnson & Johnson,0.726015,2629.095,171.51,8,11,23790999552,-6.786020288
9,Exxon Mobil Corp,0.719186,4198.856,106.38,6,11,1.11265E+11,24.03687436
10,Berkshire Hathaway Inc,0.578138,1250.207,287.21,2,11,9260999680,-17.77939326
11,JPMorgan Chase & Co,0.571421,2909.258,121.99,2,11,40809000960,-4.693296818
12,Chevron Corp,0.503764,1805.109,173.33,6,11,65372000256,7.068260924
13,Visa Inc,0.498659,1627.564,190.29,4,11,7274999808,-11.72238627
14,Procter & Gamble Co/The,0.498334,2396.491,129.15,7,11,20611999744,-19.84198826
15,NVIDIA Corp,0.482844,2400.051,124.95,4,11,6704000000,-38.20387797
16,Meta Platforms Inc,0.479007,2281.992,130.37,3,11,28821999616,-30.87148963
17,Eli Lilly & Co,0.477149,844.349,350.98,8,11,6488000000,18.43608821
18,Home Depot Inc/The,0.464958,1026.948,281.2,10,11,43791998976,-10.06630351
19,Taiwan Semiconductor Manufacturing Co Ltd,0.448955,23245.18,387,4,21,6.13142E+11,-29.86728823
20,Nestle SA,0.444914,2581.169,107.12,7,16,23552000000,-14.13433642
21,AbbVie Inc,0.429096,1765.046,150.99,8,11,14583000064,-5.436061349
22,Mastercard Inc,0.419898,854.83,305.08,4,11,5496999936,-16.7700944
23,Pfizer Inc,0.412774,5606.101,45.73,8,11,27741999104,-7.016640125
24,Merck & Co Inc,0.397633,2517.978,98.08,8,11,14593000448,12.74104788
25,Bank of America Corp,0.395748,7020.647,35.01,2,11,30357999616,-9.069568046
26,PepsiCo Inc,0.391468,1377.609,176.49,7,11,21970999296,0.327937648
27,Roche Holding AG,0.369718,702.318,327.15,8,16,14741999616,-11.43871015
28,Coca-Cola Co/The,0.357695,3875.416,57.325,7,11,11324999680,-14.22383907
29,Costco Wholesale Corp,0.350727,441.82,493.03,7,11,72091000832,-18.92559586
30,Walmart Inc,0.319764,1427.24,139.15,7,11,1.52859E+11,-13.74626833
31,Thermo Fisher Scientific Inc,0.319291,390.844,507.38,8,11,10970000384,-14.32199464
32,Shell PLC,0.313111,7345.898,2345,6,14,1.00059E+11,7.37974723
33,ASML Holding NV,0.308793,406.353,477.95,4,23,5778299904,-20.58467394
34,McDonald's Corp,0.30361,739.246,255.08,10,11,5718400000,0.828425291
35,Samsung Electronics Co Ltd,0.302898,4727.238,57500,4,22,7.6E+13,-13.05228192
36,Walt Disney Co/The,0.297872,1819.822,101.66,3,11,21504000000,-16.12691284
37,Accenture PLC,0.292622,663.368,273.97,4,26,15423655936,-15.68912276
38,Broadcom Inc,0.286201,388.433,457.62,4,11,8464000000,-22.85766648
39,Novartis AG,0.283212,2257.036,77.98,8,16,13084999680,-11.22449043
40,Wells Fargo & Co,0.27607,3785.886,45.29,2,11,21901000704,-4.988280295
41,Novo Nordisk A/S,0.275256,1619.203,795.3,8,29,41265000448,1.791077928
42,Abbott Laboratories,0.272876,1738.067,97.51,8,11,10410000384,-22.24966152
43,Danaher Corp,0.266273,661.671,249.94,8,11,7663000064,-11.92383409
44,AstraZeneca PLC,0.266181,1497.057,9782,8,14,10771000320,-6.793716315
45,Cisco Systems Inc,0.263885,3785.965,43.29,4,11,13102000128,-17.43078169
46,LVMH Moet Hennessy Louis Vuitton SE,0.261826,258.966,635.9,10,17,19754999808,-2.237691431
47,ConocoPhillips,0.261248,1291.441,125.64,6,11,21161000960,30.00612299
48,Tencent Holdings Ltd,0.254526,6018.07,206.2,3,13,1.34034E+11,-39.18475077
49,Bristol-Myers Squibb Co,0.251551,2133.469,73.23,8,11,11886999552,-5.524175774
50,Salesforce Inc,0.249486,963.568,160.81,4,11,7720000000,-9.625908689
51,Texas Instruments Inc,0.236324,912.51,160.85,4,11,5212000256,-8.677576246
52,Linde PLC,0.235695,497.355,294.33,1,14,8456999936,-10.42784146
53,Toyota Motor Corp,0.23468,10858.858,1996.5,10,12,8.49112E+12,-9.660633484
54,Adobe Inc,0.234265,466.745,311.73,4,11,4432999936,-26.6144517
55,NextEra Energy Inc,0.230157,1960.052,72.93,11,11,5183000064,-4.968320611
56,Verizon Communications Inc,0.227507,3907.114,36.165,3,11,34240999424,-33.80585325
57,Comcast Corp,0.223395,4442.736,31.23,3,11,30016000000,-34.05629342
58,TotalEnergies SE,0.222763,2618.829,53.5,6,17,70444998656,15.41694799
59,Amgen Inc,0.222509,533.126,259.22,8,11,6593999872,0.176245842
60,Philip Morris International Inc,0.215887,1546.347,86.71,7,11,8032000000,-15.39718234
61,Raytheon Technologies Corp,0.213648,1474.861,89.97,5,11,16314000384,-11.92678604
62,QUALCOMM Inc,0.209973,1121.331,116.3,4,11,10936000512,-14.02561549
63,Royal Bank of Canada,0.205032,1397.937,124.87,2,15,16945999872,-8.965461689
